Country,Overall DRI Score
SG,2.37
LU,2.22
IS,2.15
US,2.08
SE,1.95
DK,1.82
KR,1.73
NZ,1.7
CH,1.64
GB,1.59
EE,1.57
NL,1.57
NO,1.54
IE,1.54
FI,1.53
AU,1.49
CA,1.4
JP,1.35
DE,1.33
IL,1.31
AE,1.26
AT,1.1
ES,1
CY,0.99
FR,0.98
MT,0.94
BE,0.88
LT,0.88
CZ,0.83
SI,0.83
PT,0.8
LV,0.77
PL,0.73
QA,0.73
CL,0.65
SK,0.61
IT,0.56
MU,0.55
ME,0.53
GE,0.5
UY,0.48
MY,0.46
HR,0.45
GR,0.42
CR,0.39
RU,0.39
OM,0.37
KW,0.37
HU,0.36
RO,0.35
TH,0.32
SA,0.31
BG,0.27
KZ,0.23
CN,0.23
TR,0.22
VN,0.22
RS,0.22
BW,0.21
BY,0.2
AM,0.16
MK,0.16
PA,0.12
AZ,0.08
AL,0.05
MN,0.04
TT,0.04
PE,0.04
CO,0.02
AR,0
MX,-0.04
ZA,-0.06
ID,-0.06
BA,-0.07
JM,-0.08
UZ,-0.1
MA,-0.11
PY,-0.11
UA,-0.13
MD,-0.13
KG,-0.15
BR,-0.15
SV,-0.15
JO,-0.23
TN,-0.24
IR,-0.25
PH,-0.25
DO,-0.27
EC,-0.28
LK,-0.32
LB,-0.33
KH,-0.38
GT,-0.43
NA,-0.44
EG,-0.46
GH,-0.49
DZ,-0.54
HN,-0.55
KE,-0.57
BO,-0.57
NI,-0.57
RW,-0.58
GA,-0.6
IN,-0.62
NP,-0.66
ZM,-0.72
CI,-0.8
TL,-0.8
BD,-0.82
MM,-0.85
TJ,-0.85
SN,-0.86
ZW,-0.87
IQ,-0.88
LA,-0.89
LS,-0.93
TZ,-0.94
UG,-0.97
TG,-1.03
PK,-1.06
CM,-1.07
VE,-1.08
MW,-1.09
BJ,-1.16
ML,-1.18
MZ,-1.19
HT,-1.22
CG,-1.24
AO,-1.24
NG,-1.25
MR,-1.25
BF,-1.27
ET,-1.28
GN,-1.32
SL,-1.38
PG,-1.38
YE,-1.39
MG,-1.4
SD,-1.4
NE,-1.51
AF,-1.53
CD,-1.56
LR,-1.56
ER,-1.63
TD,-1.87
CF,-1.89